epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7888,1.96449,3.24684,2.00705,0.00332,0.53046,0.05977,0.02501,2.11778,5.57983,2.3516,0.084016,1.6e-05,1.6e-05
2,55.0192,1.50161,2.7405,1.64672,0.0046,0.64188,0.07798,0.03839,1.5049,3.53252,1.73413,0.0670327,3.26733e-05,3.26733e-05
3,76.0166,1.42207,2.47378,1.57805,0.00461,0.71066,0.09089,0.05265,1.37552,3.0539,1.41307,0.050049,4.901e-05,4.901e-05
4,98.4867,1.3905,2.34533,1.56066,0.37259,0.1348,0.17687,0.11306,1.20158,2.73557,1.3262,0.033065,6.50101e-05,6.50101e-05
5,122.293,1.35568,2.23565,1.53768,0.45764,0.37816,0.31774,0.21737,1.04583,2.21607,1.21293,0.0160807,8.06736e-05,8.06736e-05
6,143.364,1.31621,2.14394,1.53578,0.44608,0.45057,0.37952,0.27798,0.94188,1.97442,1.19032,9.505e-05,9.505e-05,9.505e-05
7,166.639,1.30989,2.05743,1.51298,0.58774,0.44217,0.45836,0.3361,0.91373,1.73233,1.17548,9.406e-05,9.406e-05,9.406e-05
8,186.843,1.2866,2.00047,1.49216,0.54255,0.45244,0.48781,0.35804,0.92982,1.60367,1.17066,9.307e-05,9.307e-05,9.307e-05
9,209.736,1.22838,1.92354,1.47119,0.51327,0.47903,0.49194,0.34542,0.93863,1.76394,1.16962,9.208e-05,9.208e-05,9.208e-05
10,232.101,1.27119,1.91103,1.48278,0.49306,0.48909,0.49128,0.35157,0.92912,1.6969,1.16555,9.109e-05,9.109e-05,9.109e-05
11,256.85,1.23797,1.8538,1.46106,0.67249,0.44926,0.51164,0.37225,0.95822,1.59895,1.17365,9.01e-05,9.01e-05,9.01e-05
12,280.148,1.25348,1.8616,1.46235,0.70539,0.46173,0.56951,0.42385,0.87958,1.51617,1.15244,8.911e-05,8.911e-05,8.911e-05
13,300.935,1.21552,1.79559,1.434,0.70887,0.5438,0.62431,0.46995,0.90297,1.4003,1.15374,8.812e-05,8.812e-05,8.812e-05
14,324.371,1.21728,1.76215,1.43446,0.70739,0.52072,0.59071,0.4392,0.82518,1.37836,1.14212,8.713e-05,8.713e-05,8.713e-05
15,351.541,1.20135,1.73252,1.4165,0.69693,0.57614,0.64434,0.48182,0.87794,1.26523,1.1624,8.614e-05,8.614e-05,8.614e-05
16,372.866,1.17869,1.68152,1.40601,0.71976,0.56171,0.64083,0.48214,0.85443,1.23353,1.1585,8.515e-05,8.515e-05,8.515e-05
17,393.992,1.21354,1.69163,1.43271,0.70656,0.60171,0.65566,0.48477,0.8671,1.2334,1.16386,8.416e-05,8.416e-05,8.416e-05
18,415.639,1.18141,1.64462,1.40978,0.64607,0.55044,0.62108,0.45816,0.88257,1.4334,1.15347,8.317e-05,8.317e-05,8.317e-05
