epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6309,1.76445,3.30449,1.80469,0.00299,0.35635,0.0219,0.00489,2.84168,3.838,3.09377,0.08416,0.00016,0.00016
2,33.0016,1.35343,2.20729,1.47492,0.00601,0.61058,0.24192,0.10737,1.76542,3.33744,1.86039,0.0673267,0.000326733,0.000326733
3,44.2245,1.29288,1.77384,1.45263,0.47442,0.26626,0.33925,0.15272,2.01246,2.74423,2.05661,0.0504901,0.0004901,0.0004901
4,55.907,1.2812,1.61368,1.44103,0.48283,0.41314,0.39647,0.16813,1.99221,2.35414,2.05746,0.0336501,0.000650101,0.000650101
5,68.5783,1.26579,1.51354,1.43053,0.49365,0.34014,0.4125,0.18411,1.96862,2.5621,1.99897,0.0168067,0.000806736,0.000806736
6,80.5587,1.29306,1.51328,1.44627,0.65227,0.42508,0.48963,0.26231,1.75778,2.06816,1.89945,0.0009505,0.0009505,0.0009505
7,90.7624,1.27223,1.44561,1.42824,0.64007,0.50151,0.53915,0.26541,1.69741,2.09551,1.8327,0.0009406,0.0009406,0.0009406
8,103.528,1.22504,1.3509,1.39847,0.54455,0.32239,0.32121,0.14436,1.8982,3.72005,2.05927,0.0009307,0.0009307,0.0009307
9,117.919,1.23981,1.364,1.41095,0.32076,0.44988,0.33577,0.16078,1.67963,3.0253,1.80692,0.0009208,0.0009208,0.0009208
10,128.412,1.21507,1.32323,1.40648,0.58316,0.49656,0.49152,0.23809,1.76299,1.91471,1.81642,0.0009109,0.0009109,0.0009109
11,140.003,1.18936,1.27473,1.37362,0.52282,0.53564,0.55194,0.30612,1.63246,1.46047,1.72299,0.000901,0.000901,0.000901
12,151.505,1.1572,1.24995,1.36496,0.64757,0.54069,0.57187,0.32794,1.41327,1.64346,1.51272,0.0008911,0.0008911,0.0008911
