epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6827,1.53808,3.35507,1.52475,0.00583,0.58438,0.05497,0.0291,1.68477,3.31317,1.74406,0.08416,0.00016,0.00016
2,34.5932,1.22542,2.238,1.32523,0.02813,0.60424,0.20228,0.13119,1.12511,3.46524,1.35113,0.0673267,0.000326733,0.000326733
3,47.2016,1.18413,1.86806,1.32104,0.62771,0.19422,0.21084,0.12941,1.37023,3.12339,1.45973,0.0504901,0.0004901,0.0004901
4,59.7077,1.13515,1.62272,1.29823,0.72924,0.22932,0.28261,0.19253,1.19224,2.59488,1.33467,0.0336501,0.000650101,0.000650101
5,73.9625,1.16366,1.57004,1.31548,0.8035,0.37001,0.49939,0.30494,1.22864,2.02072,1.39121,0.0168067,0.000806736,0.000806736
6,86.6283,1.15119,1.56195,1.31142,0.61143,0.47084,0.50461,0.30487,1.15947,1.85454,1.49936,0.0009505,0.0009505,0.0009505
7,97.6132,1.12167,1.4756,1.28457,0.31839,0.37885,0.25429,0.13558,1.49093,2.95053,1.70992,0.0009406,0.0009406,0.0009406
