epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4952,1.52641,3.51111,1.5337,0.00211,0.35924,0.02572,0.00779,2.59463,3.82923,3.06102,0.084016,1.6e-05,1.6e-05
2,34.1191,1.21582,2.63463,1.30707,0.00328,0.50374,0.09329,0.03655,1.9672,3.63089,1.99831,0.0670327,3.26733e-05,3.26733e-05
3,46.0725,1.1484,2.26643,1.28787,0.04773,0.48062,0.12773,0.07701,1.58982,3.70032,1.66935,0.050049,4.901e-05,4.901e-05
4,58.5041,1.1163,2.08431,1.28372,0.0706,0.60309,0.21015,0.15163,1.05094,3.41798,1.20892,0.033065,6.50101e-05,6.50101e-05
5,71.4568,1.08703,1.93209,1.24804,0.62355,0.17406,0.34574,0.25874,0.93411,2.7344,1.14513,0.0160807,8.06736e-05,8.06736e-05
6,83.0313,1.09688,1.78891,1.24856,0.63017,0.43449,0.45913,0.34956,0.97224,2.11601,1.13686,9.505e-05,9.505e-05,9.505e-05
7,94.5728,1.04914,1.69182,1.22357,0.6385,0.45286,0.52086,0.39763,0.94388,1.76785,1.15051,9.406e-05,9.406e-05,9.406e-05
8,105.91,1.03545,1.58509,1.22019,0.51549,0.52773,0.53643,0.4154,0.8383,1.38542,1.12138,9.307e-05,9.307e-05,9.307e-05
9,121.15,1.03022,1.51603,1.20929,0.69844,0.49975,0.57914,0.44562,0.86054,1.30755,1.09561,9.208e-05,9.208e-05,9.208e-05
10,131.313,0.98034,1.43762,1.19837,0.62024,0.5523,0.5813,0.44985,0.83771,1.23408,1.08786,9.109e-05,9.109e-05,9.109e-05
11,144.447,1.00363,1.40725,1.17868,0.70283,0.51527,0.5872,0.45267,0.82724,1.23979,1.101,9.01e-05,9.01e-05,9.01e-05
12,156.659,0.97527,1.38671,1.18931,0.72625,0.55038,0.63955,0.49523,0.82869,1.21217,1.11658,8.911e-05,8.911e-05,8.911e-05
13,167.903,0.96504,1.33702,1.15754,0.73395,0.53102,0.64702,0.50554,0.79664,1.16966,1.09592,8.812e-05,8.812e-05,8.812e-05
14,179.826,0.97121,1.31425,1.16125,0.77706,0.51947,0.65212,0.49779,0.89596,1.22972,1.06381,8.713e-05,8.713e-05,8.713e-05
15,194.282,0.93476,1.2626,1.15325,0.62177,0.60196,0.65359,0.50398,0.8216,1.13611,1.05671,8.614e-05,8.614e-05,8.614e-05
16,205.791,0.92462,1.23941,1.15831,0.78182,0.51629,0.65491,0.49826,0.86753,1.12914,1.06319,8.515e-05,8.515e-05,8.515e-05
17,216.393,0.93351,1.21936,1.14708,0.64815,0.60015,0.67078,0.52046,0.80069,1.09397,1.06348,8.416e-05,8.416e-05,8.416e-05
18,229.197,0.94276,1.20668,1.15941,0.73312,0.57818,0.67751,0.52317,0.83715,1.08305,1.04592,8.317e-05,8.317e-05,8.317e-05
19,242.813,0.94083,1.21844,1.1578,0.69925,0.64156,0.6898,0.52961,0.86601,1.0776,1.0427,8.218e-05,8.218e-05,8.218e-05
20,255.591,0.87939,1.13961,1.12061,0.67091,0.67964,0.70439,0.5525,0.80274,1.0325,1.05977,8.119e-05,8.119e-05,8.119e-05
21,265.903,0.9315,1.15675,1.15104,0.66045,0.63492,0.69821,0.53581,0.83708,1.01555,1.08381,8.02e-05,8.02e-05,8.02e-05
22,278.052,0.93753,1.15791,1.15515,0.70152,0.63977,0.7138,0.54364,0.82911,1.00182,1.0597,7.921e-05,7.921e-05,7.921e-05
23,290.742,0.90553,1.10991,1.11766,0.75277,0.61216,0.71997,0.55443,0.832,1.00049,1.0362,7.822e-05,7.822e-05,7.822e-05
24,302.876,0.90951,1.12743,1.13819,0.75277,0.61685,0.72386,0.55943,0.841,1.00375,1.04324,7.723e-05,7.723e-05,7.723e-05
25,313.944,0.91954,1.12041,1.13712,0.71216,0.60829,0.71311,0.55085,0.81579,0.96461,1.06721,7.624e-05,7.624e-05,7.624e-05
26,328.146,0.91416,1.10928,1.12483,0.71999,0.63811,0.71397,0.53869,0.88989,0.99527,1.06626,7.525e-05,7.525e-05,7.525e-05
27,343.545,0.90979,1.07739,1.12629,0.73916,0.6101,0.70562,0.54726,0.79846,0.97113,1.03217,7.426e-05,7.426e-05,7.426e-05
28,354.28,0.89989,1.02892,1.11666,0.64786,0.69741,0.70408,0.53982,0.80958,0.95438,1.02654,7.327e-05,7.327e-05,7.327e-05
29,367.348,0.90504,1.06217,1.13596,0.71499,0.65867,0.72581,0.56909,0.78314,0.95059,1.05564,7.228e-05,7.228e-05,7.228e-05
30,377.678,0.87405,1.00966,1.12373,0.74579,0.63712,0.72678,0.56458,0.78351,0.9594,1.06965,7.129e-05,7.129e-05,7.129e-05
31,391.884,0.85123,0.98524,1.11201,0.66903,0.66662,0.70905,0.54499,0.80915,0.9709,1.06568,7.03e-05,7.03e-05,7.03e-05
32,403.315,0.87413,1.00258,1.10927,0.75006,0.59766,0.70917,0.54126,0.84032,0.99908,1.04674,6.931e-05,6.931e-05,6.931e-05
33,415.319,0.88193,1.00392,1.10584,0.68375,0.66554,0.72858,0.55195,0.82433,0.96388,1.04113,6.832e-05,6.832e-05,6.832e-05
34,428.731,0.86317,1.00987,1.09331,0.73043,0.63683,0.71714,0.55008,0.77434,0.92622,1.04669,6.733e-05,6.733e-05,6.733e-05
35,439.296,0.85172,0.99876,1.10856,0.67917,0.65925,0.70979,0.552,0.78449,0.9243,1.05676,6.634e-05,6.634e-05,6.634e-05
36,451.168,0.82178,0.94496,1.08314,0.70323,0.69827,0.73008,0.56462,0.80333,0.8828,1.05381,6.535e-05,6.535e-05,6.535e-05
37,463.011,0.85067,0.95556,1.09468,0.78053,0.66758,0.75273,0.58161,0.81165,0.88959,1.05602,6.436e-05,6.436e-05,6.436e-05
38,475.08,0.8734,0.95354,1.09994,0.71193,0.7065,0.73542,0.5803,0.8,0.92409,1.03881,6.337e-05,6.337e-05,6.337e-05
39,487.074,0.87946,0.96402,1.12114,0.77057,0.67698,0.7374,0.58129,0.79689,0.94279,1.01417,6.238e-05,6.238e-05,6.238e-05
40,499.019,0.83624,0.8963,1.07601,0.7278,0.68528,0.73988,0.58345,0.7532,0.90539,0.99915,6.139e-05,6.139e-05,6.139e-05
41,513.526,0.84881,0.93065,1.07929,0.76661,0.67944,0.73328,0.56159,0.79902,0.90855,1.03713,6.04e-05,6.04e-05,6.04e-05
42,525.073,0.84419,0.94738,1.08624,0.76394,0.65878,0.73908,0.57847,0.72709,0.89014,0.99524,5.941e-05,5.941e-05,5.941e-05
43,537.512,0.85618,0.93014,1.08383,0.75039,0.66773,0.74459,0.58048,0.73755,0.90041,0.99756,5.842e-05,5.842e-05,5.842e-05
44,549.983,0.82217,0.90195,1.06674,0.75001,0.65747,0.74836,0.57855,0.80228,0.89274,1.02249,5.743e-05,5.743e-05,5.743e-05
45,564.286,0.83553,0.90696,1.08246,0.76497,0.63299,0.71965,0.56052,0.76045,0.9152,1.0241,5.644e-05,5.644e-05,5.644e-05
46,576.219,0.80485,0.87477,1.05378,0.76949,0.65031,0.73935,0.57397,0.78467,0.86805,0.99021,5.545e-05,5.545e-05,5.545e-05
47,588.793,0.8236,0.88504,1.08001,0.72655,0.70684,0.75635,0.59154,0.76353,0.87662,0.98279,5.446e-05,5.446e-05,5.446e-05
48,600.823,0.80384,0.89712,1.06749,0.77963,0.68098,0.75222,0.58102,0.73985,0.86382,0.9768,5.347e-05,5.347e-05,5.347e-05
49,615.627,0.79806,0.87918,1.06318,0.81652,0.64115,0.75915,0.59235,0.77113,0.86126,0.98811,5.248e-05,5.248e-05,5.248e-05
50,626.626,0.81199,0.87574,1.07991,0.76372,0.69981,0.76534,0.60103,0.77451,0.85545,0.9891,5.149e-05,5.149e-05,5.149e-05
51,640.14,0.81597,0.87083,1.0691,0.75412,0.72379,0.76885,0.61254,0.74843,0.84062,0.97972,5.05e-05,5.05e-05,5.05e-05
52,650.881,0.84333,0.89449,1.08772,0.77353,0.71226,0.76932,0.59711,0.80536,0.87505,0.99021,4.951e-05,4.951e-05,4.951e-05
53,665.671,0.8149,0.88569,1.07324,0.76557,0.709,0.76392,0.5967,0.75361,0.86519,0.9806,4.852e-05,4.852e-05,4.852e-05
54,677.279,0.79955,0.8682,1.06806,0.81094,0.64447,0.76139,0.60037,0.74907,0.85263,0.97425,4.753e-05,4.753e-05,4.753e-05
55,692.232,0.8229,0.87112,1.06296,0.77358,0.66916,0.76445,0.60114,0.75831,0.85032,0.97436,4.654e-05,4.654e-05,4.654e-05
56,703.529,0.7858,0.84195,1.04719,0.76786,0.7101,0.77814,0.60579,0.78092,0.8513,0.97874,4.555e-05,4.555e-05,4.555e-05
57,718.502,0.79391,0.84464,1.06412,0.78,0.67681,0.77489,0.60759,0.75688,0.8262,0.97454,4.456e-05,4.456e-05,4.456e-05
58,730.375,0.80983,0.84062,1.05005,0.78472,0.71388,0.78369,0.61516,0.75732,0.81713,0.9735,4.357e-05,4.357e-05,4.357e-05
59,743.86,0.80239,0.84946,1.0659,0.80256,0.69435,0.78258,0.61225,0.76401,0.82922,0.97427,4.258e-05,4.258e-05,4.258e-05
60,753.557,0.78771,0.84013,1.06517,0.7654,0.68175,0.78763,0.62168,0.75403,0.84091,0.97521,4.159e-05,4.159e-05,4.159e-05
61,767.607,0.79318,0.84869,1.05162,0.82173,0.64924,0.78921,0.61782,0.771,0.82635,0.9794,4.06e-05,4.06e-05,4.06e-05
62,779.071,0.79663,0.83522,1.05044,0.76832,0.6921,0.78659,0.62267,0.76176,0.82229,0.97547,3.961e-05,3.961e-05,3.961e-05
63,790.995,0.78482,0.81025,1.0506,0.77841,0.68753,0.78231,0.61638,0.74298,0.81094,0.96976,3.862e-05,3.862e-05,3.862e-05
64,804.62,0.79792,0.81348,1.05625,0.74406,0.72165,0.79121,0.62198,0.74375,0.81209,0.97247,3.763e-05,3.763e-05,3.763e-05
65,816.929,0.80256,0.81229,1.05938,0.80564,0.6752,0.7915,0.61478,0.76835,0.85438,0.98035,3.664e-05,3.664e-05,3.664e-05
66,828.273,0.80551,0.83787,1.05091,0.82655,0.66258,0.78877,0.61515,0.77354,0.8406,0.98658,3.565e-05,3.565e-05,3.565e-05
67,840.906,0.79797,0.82156,1.0437,0.81202,0.64955,0.76434,0.59683,0.76733,0.85286,0.98038,3.466e-05,3.466e-05,3.466e-05
68,852.843,0.79514,0.82891,1.05673,0.73187,0.71304,0.77184,0.60301,0.75945,0.83772,0.9785,3.367e-05,3.367e-05,3.367e-05
69,866.363,0.77873,0.79966,1.05308,0.82605,0.65278,0.7821,0.61468,0.76167,0.83251,0.98127,3.268e-05,3.268e-05,3.268e-05
70,879.032,0.78064,0.79017,1.05313,0.85212,0.65605,0.78839,0.62192,0.74858,0.8218,0.97247,3.169e-05,3.169e-05,3.169e-05
71,890.035,0.76281,0.76861,1.03877,0.86361,0.63115,0.78145,0.61779,0.74648,0.81391,0.9694,3.07e-05,3.07e-05,3.07e-05
72,903.01,0.79875,0.80433,1.07645,0.7864,0.69674,0.78963,0.61849,0.77379,0.81699,0.97649,2.971e-05,2.971e-05,2.971e-05
