epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9146,1.63526,3.40242,1.59855,0.00208,0.37507,0.00439,0.00116,2.50657,3.73157,2.8294,0.08416,0.00016,0.00016
2,37.0594,1.29494,2.28741,1.39392,0.00448,0.33312,0.01838,0.00411,2.75056,4.11752,3.28043,0.0673267,0.000326733,0.000326733
3,50.5466,1.2457,1.91206,1.40007,0.31444,0.17655,0.1554,0.06817,1.75427,2.97116,1.75901,0.0504901,0.0004901,0.0004901
4,63.7257,1.21504,1.70626,1.37056,0.74438,0.2986,0.41311,0.2342,1.4853,2.04397,1.5385,0.0336501,0.000650101,0.000650101
5,77.5043,1.22685,1.61541,1.37592,0.62491,0.4238,0.47949,0.28746,1.46638,1.99047,1.52894,0.0168067,0.000806736,0.000806736
6,90.3938,1.22214,1.57691,1.36325,0.7229,0.52495,0.58438,0.32151,1.54532,1.70027,1.62689,0.0009505,0.0009505,0.0009505
7,102.865,1.17986,1.50842,1.33868,0.55064,0.47776,0.49595,0.28414,1.49929,1.75968,1.66718,0.0009406,0.0009406,0.0009406
8,115.294,1.15986,1.45993,1.32523,0.6315,0.45399,0.52511,0.32337,1.39313,1.72157,1.58884,0.0009307,0.0009307,0.0009307
9,132.097,1.17228,1.45989,1.31416,0.47768,0.38298,0.40147,0.26885,1.14331,2.01382,1.43832,0.0009208,0.0009208,0.0009208
10,144.527,1.16396,1.39671,1.33272,0.52,0.51992,0.49747,0.32185,1.22042,2.46324,1.41413,0.0009109,0.0009109,0.0009109
11,157.109,1.17108,1.34548,1.30897,0.43211,0.45227,0.40221,0.24706,1.32097,1.65203,1.5105,0.000901,0.000901,0.000901
12,170.703,1.12096,1.29719,1.2863,0.5574,0.50065,0.54214,0.36207,1.1799,1.82563,1.30685,0.0008911,0.0008911,0.0008911
13,182.94,1.14291,1.29923,1.28221,0.56524,0.50275,0.52621,0.31925,1.42235,1.7913,1.50283,0.0008812,0.0008812,0.0008812
14,195.685,1.13608,1.30329,1.27419,0.70779,0.56974,0.65121,0.43906,1.20033,1.31941,1.29837,0.0008713,0.0008713,0.0008713
15,211.457,1.1049,1.21443,1.2791,0.50763,0.58299,0.58185,0.37759,1.22384,1.35348,1.27829,0.0008614,0.0008614,0.0008614
16,222.958,1.07733,1.17565,1.27537,0.56404,0.59148,0.57779,0.36471,1.24736,1.44309,1.29395,0.0008515,0.0008515,0.0008515
17,235.786,1.06896,1.12947,1.2428,0.57112,0.61183,0.56932,0.34676,1.30451,1.52575,1.38099,0.0008416,0.0008416,0.0008416
18,248.093,1.0804,1.1325,1.24829,0.58797,0.65401,0.65835,0.42255,1.22902,1.2881,1.33815,0.0008317,0.0008317,0.0008317
19,263.057,1.0966,1.16842,1.27018,0.63062,0.66308,0.66612,0.4232,1.31354,1.25968,1.35531,0.0008218,0.0008218,0.0008218
20,277.152,1.047,1.08604,1.24611,0.75947,0.56455,0.68321,0.44465,1.25281,1.17719,1.35338,0.0008119,0.0008119,0.0008119
21,290.152,1.05792,1.10632,1.25385,0.69639,0.66062,0.71472,0.45854,1.34505,1.18318,1.40883,0.000802,0.000802,0.000802
22,303.005,1.06379,1.09933,1.25617,0.77946,0.63098,0.70728,0.42597,1.47574,1.20513,1.51003,0.0007921,0.0007921,0.0007921
23,314.552,1.04099,1.03581,1.22865,0.68596,0.51168,0.61584,0.36248,1.52339,1.42157,1.49937,0.0007822,0.0007822,0.0007822
24,328.953,1.04262,1.07431,1.23638,0.72613,0.56599,0.64024,0.3853,1.37717,1.20358,1.38531,0.0007723,0.0007723,0.0007723
25,341.517,1.01123,1.03336,1.22999,0.76664,0.6568,0.72557,0.47122,1.26857,1.06499,1.3337,0.0007624,0.0007624,0.0007624
26,355.129,1.00928,1.01302,1.20595,0.66822,0.61037,0.6684,0.42568,1.2396,1.1363,1.30934,0.0007525,0.0007525,0.0007525
27,370.626,1.02567,1.01226,1.21395,0.59666,0.58854,0.56246,0.35942,1.19071,1.48723,1.29531,0.0007426,0.0007426,0.0007426
28,381.428,1.00172,0.98263,1.19502,0.62834,0.66199,0.61862,0.39323,1.2239,1.19695,1.30014,0.0007327,0.0007327,0.0007327
29,396.003,1.01559,0.95937,1.21688,0.64683,0.59144,0.65421,0.41636,1.30536,1.18142,1.36311,0.0007228,0.0007228,0.0007228
30,407.417,0.98043,0.94227,1.19861,0.71938,0.69436,0.73355,0.48087,1.15371,1.06865,1.26961,0.0007129,0.0007129,0.0007129
31,422.038,0.97598,0.91311,1.19359,0.70888,0.70894,0.75623,0.50872,1.19509,1.17769,1.32621,0.000703,0.000703,0.000703
32,435.213,0.97754,0.93659,1.18093,0.77997,0.69858,0.76279,0.48665,1.28595,1.06095,1.3584,0.0006931,0.0006931,0.0006931
33,448.015,0.97569,0.91465,1.17482,0.85142,0.64244,0.76065,0.47874,1.34381,1.19964,1.38515,0.0006832,0.0006832,0.0006832
34,460.532,0.97306,0.9237,1.17244,0.73286,0.59711,0.72972,0.48504,1.20923,1.07482,1.27653,0.0006733,0.0006733,0.0006733
35,473.25,0.94062,0.91585,1.16281,0.77208,0.69298,0.76777,0.52103,1.1299,1.01189,1.23414,0.0006634,0.0006634,0.0006634
36,486.891,0.92997,0.8946,1.15215,0.7048,0.67381,0.74312,0.46671,1.3117,1.02027,1.35055,0.0006535,0.0006535,0.0006535
37,499.252,0.95478,0.89378,1.16657,0.80009,0.683,0.76753,0.48882,1.25764,0.99763,1.27517,0.0006436,0.0006436,0.0006436
38,512.304,0.96017,0.87234,1.16132,0.73927,0.69678,0.7681,0.5029,1.30202,1.01805,1.3305,0.0006337,0.0006337,0.0006337
39,524.608,0.97956,0.89619,1.18698,0.73001,0.66275,0.70205,0.45083,1.25848,1.11439,1.29433,0.0006238,0.0006238,0.0006238
40,538.663,0.9388,0.84362,1.15028,0.72846,0.59711,0.70084,0.439,1.31301,1.10807,1.30406,0.0006139,0.0006139,0.0006139
41,552.042,0.93718,0.85409,1.14073,0.73208,0.70333,0.75721,0.4745,1.32833,0.97949,1.29784,0.000604,0.000604,0.000604
42,564.664,0.94112,0.84447,1.14852,0.76242,0.69968,0.76928,0.5102,1.1595,0.96751,1.20298,0.0005941,0.0005941,0.0005941
43,578.847,0.92514,0.83847,1.14578,0.79872,0.62928,0.75419,0.4798,1.30455,1.04645,1.33104,0.0005842,0.0005842,0.0005842
