epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7311,1.31444,2.92931,1.52551,0.00549,0.72438,0.31566,0.21797,0.9938,2.87663,1.15633,0.000462324,0.000462324,0.000462324
2,36.0743,1.0468,2.05496,1.31383,0.56586,0.41881,0.37922,0.24101,1.21962,2.40237,1.31681,0.000752803,0.000752803,0.000752803
3,52.8275,1.09287,1.92243,1.34131,0.60303,0.43269,0.48145,0.29008,1.28349,2.11453,1.41547,0.000854654,0.000854654,0.000854654
4,69.6009,1.02398,1.77109,1.28605,0.62833,0.52903,0.57256,0.40287,0.99265,1.72029,1.27055,0.000580174,0.000580174,0.000580174
5,86.2336,0.98811,1.62491,1.26743,0.63115,0.58073,0.63373,0.45884,0.971,1.5011,1.19389,0.000297232,0.000297232,0.000297232
