epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9643,1.47709,3.05173,1.60731,0.00317,0.49679,0.04539,0.02014,2.15471,3.51421,2.45067,0.0848,0.0008,0.0008
2,37.0047,1.32879,2.03428,1.49358,0.01029,0.05152,0.00629,0.00165,3.20016,9.76428,4.68805,0.0686337,0.00163367,0.00163367
3,49.9033,1.34315,1.89455,1.54063,0.39506,0.05955,0.01697,0.0045,2.88931,29.8603,9.83395,0.0524505,0.0024505,0.0024505
4,62.5898,1.36365,1.78424,1.52427,0.16949,0.15232,0.02806,0.01171,2.75628,29.4443,4.68326,0.0362505,0.0032505,0.0032505
5,76.8784,1.30701,1.68617,1.47853,0.35487,0.08441,0.00789,0.0023,2.52389,10.4235,3.31935,0.0200337,0.00403368,0.00403368
6,89.5416,1.33706,1.6462,1.50942,0.04532,0.10704,0.00761,0.00323,3.33618,33.4044,9.21094,0.0047525,0.0047525,0.0047525
7,100.649,1.31662,1.6288,1.48908,0.10482,0.09157,0.03699,0.01889,3.17718,6.88199,4.82889,0.004703,0.004703,0.004703
8,114.134,1.26997,1.541,1.47354,0.09947,0.11681,0.04505,0.01552,2.6093,4.12963,3.28599,0.0046535,0.0046535,0.0046535
9,130.59,1.29454,1.54932,1.46266,0.18787,0.29935,0.15433,0.07447,1.82388,7.41477,2.15989,0.004604,0.004604,0.004604
10,141.956,1.24215,1.52037,1.45609,0.28006,0.32176,0.19048,0.10141,1.89214,6.2516,2.3766,0.0045545,0.0045545,0.0045545
11,154.912,1.20149,1.39993,1.41266,0.06433,0.09192,0.055,0.03069,2.22087,16.7844,2.51676,0.004505,0.004505,0.004505
12,167.364,1.21645,1.43597,1.41762,0.43514,0.37358,0.34757,0.21044,1.50339,2.91393,1.73123,0.0044555,0.0044555,0.0044555
13,181.354,1.15248,1.39873,1.3569,0.30684,0.36841,0.2373,0.14658,1.27645,4.37339,1.53398,0.004406,0.004406,0.004406
14,194.01,1.16244,1.4345,1.36485,0.19936,0.31824,0.17464,0.09727,1.33589,6.72137,1.53167,0.0043565,0.0043565,0.0043565
15,210.371,1.11775,1.34302,1.35584,0.27146,0.29609,0.19927,0.10335,1.62732,4.7842,1.88413,0.004307,0.004307,0.004307
16,221.542,1.13553,1.35158,1.36628,0.26926,0.33267,0.20961,0.10858,1.89095,2.72489,2.13016,0.0042575,0.0042575,0.0042575
17,234.232,1.10427,1.3096,1.32868,0.43765,0.58085,0.40659,0.25013,1.17676,5.06386,1.48493,0.004208,0.004208,0.004208
18,248.078,1.11313,1.29928,1.34229,0.42934,0.32341,0.28297,0.16736,1.63603,2.97223,1.98251,0.0041585,0.0041585,0.0041585
19,262.945,1.10111,1.28076,1.33404,0.56248,0.59423,0.55124,0.36584,1.14106,1.32783,1.31913,0.004109,0.004109,0.004109
20,276.027,1.06372,1.23828,1.3255,0.62859,0.597,0.58846,0.37844,1.23774,1.43818,1.36924,0.0040595,0.0040595,0.0040595
21,287.33,1.10602,1.24907,1.33725,0.39083,0.3215,0.28958,0.15466,1.70635,2.72895,1.87128,0.00401,0.00401,0.00401
22,299.644,1.07844,1.26405,1.31825,0.75152,0.58354,0.66208,0.42721,1.13799,1.20551,1.30221,0.0039605,0.0039605,0.0039605
23,314.362,1.0322,1.1607,1.28906,0.45487,0.51198,0.45609,0.26898,1.4343,2.15819,1.50449,0.003911,0.003911,0.003911
