epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1886,1.53789,3.34785,1.52407,0.00304,0.42856,0.01845,0.00554,2.72556,3.58772,3.0848,0.08416,0.00016,0.00016
2,34.144,1.26405,2.27547,1.3555,0.00495,0.60322,0.05416,0.03198,1.7504,3.69519,1.8603,0.0673267,0.000326733,0.000326733
3,46.2703,1.15926,1.85201,1.31579,0.70538,0.21333,0.24628,0.15468,1.29363,2.74189,1.53542,0.0504901,0.0004901,0.0004901
4,58.2704,1.13914,1.65448,1.32089,0.47282,0.35438,0.35263,0.22777,1.19837,2.00988,1.35273,0.0336501,0.000650101,0.000650101
5,69.7966,1.13409,1.53103,1.30002,0.47746,0.38255,0.41765,0.30803,1.108,2.43972,1.33174,0.0168067,0.000806736,0.000806736
6,81.5796,1.1518,1.53689,1.29586,0.57163,0.46058,0.49438,0.31139,1.25147,1.78619,1.43761,0.0009505,0.0009505,0.0009505
7,92.769,1.16527,1.50405,1.31448,0.54478,0.52056,0.49804,0.31761,1.20973,1.69157,1.46131,0.0009406,0.0009406,0.0009406
8,105.695,1.14317,1.41581,1.29246,0.50153,0.41184,0.42396,0.28071,1.07702,2.10856,1.35671,0.0009307,0.0009307,0.0009307
9,118.592,1.16,1.42567,1.28858,0.54051,0.52529,0.52295,0.36844,1.00245,1.59683,1.3012,0.0009208,0.0009208,0.0009208
10,129.501,1.10965,1.33909,1.28909,0.53645,0.53008,0.52356,0.36356,1.04441,1.57497,1.31032,0.0009109,0.0009109,0.0009109
11,140.708,1.1069,1.32706,1.25527,0.60059,0.54958,0.58179,0.41327,1.06957,1.36824,1.33758,0.000901,0.000901,0.000901
12,153.654,1.06738,1.26574,1.25465,0.61549,0.60229,0.59886,0.43321,1.00348,1.40282,1.28619,0.0008911,0.0008911,0.0008911
13,165.824,1.0922,1.28203,1.23593,0.5683,0.51678,0.53343,0.3854,1.00728,1.49477,1.24588,0.0008812,0.0008812,0.0008812
14,177.592,1.06998,1.26226,1.23409,0.64939,0.5493,0.61163,0.44572,0.95948,1.27766,1.25188,0.0008713,0.0008713,0.0008713
15,191.562,1.05455,1.20557,1.23712,0.651,0.64518,0.67139,0.48123,0.9654,1.21374,1.2193,0.0008614,0.0008614,0.0008614
16,202.252,1.02175,1.15314,1.23643,0.64479,0.69308,0.69766,0.5005,0.96098,1.14449,1.15327,0.0008515,0.0008515,0.0008515
17,213.492,1.01884,1.13021,1.20672,0.68305,0.63481,0.68735,0.47959,0.9804,1.14023,1.21719,0.0008416,0.0008416,0.0008416
18,226.286,1.03101,1.13749,1.22465,0.64942,0.48979,0.58161,0.40573,0.9989,1.34151,1.28667,0.0008317,0.0008317,0.0008317
19,239.063,1.02802,1.12656,1.23469,0.66373,0.58018,0.6387,0.46225,0.95912,1.28113,1.21119,0.0008218,0.0008218,0.0008218
20,251.093,0.97357,1.09054,1.20285,0.70748,0.61949,0.68159,0.48254,0.97845,1.27643,1.2936,0.0008119,0.0008119,0.0008119
21,261.982,1.01614,1.11998,1.21374,0.68851,0.54542,0.62136,0.43185,0.99196,1.30316,1.24319,0.000802,0.000802,0.000802
22,274.104,0.99386,1.1005,1.21418,0.73781,0.59118,0.66257,0.46932,1.00982,1.21121,1.21923,0.0007921,0.0007921,0.0007921
23,285.336,0.99606,1.03549,1.19843,0.81921,0.60748,0.73458,0.53085,0.92951,1.08759,1.17063,0.0007822,0.0007822,0.0007822
24,297.193,0.99291,1.06532,1.21285,0.61974,0.56066,0.6164,0.44388,0.93934,1.46212,1.13529,0.0007723,0.0007723,0.0007723
25,309.102,0.98381,1.03794,1.19433,0.73596,0.6229,0.71303,0.52802,0.95509,1.0904,1.19072,0.0007624,0.0007624,0.0007624
26,322.192,0.96491,1.03454,1.17607,0.64553,0.59265,0.65125,0.46498,0.9635,1.10905,1.20022,0.0007525,0.0007525,0.0007525
27,336.308,0.97958,1.02291,1.18382,0.67155,0.67209,0.67729,0.49683,0.91535,1.05625,1.16399,0.0007426,0.0007426,0.0007426
28,346.908,0.94248,0.97648,1.16487,0.68055,0.64736,0.6912,0.50438,0.87509,1.0457,1.17715,0.0007327,0.0007327,0.0007327
29,359.929,0.97409,0.99099,1.20112,0.70462,0.65394,0.72448,0.52923,0.8486,0.99509,1.187,0.0007228,0.0007228,0.0007228
30,370.84,0.92601,0.95322,1.17369,0.72667,0.63806,0.73432,0.54521,0.86685,0.98205,1.12743,0.0007129,0.0007129,0.0007129
31,383.801,0.91238,0.90261,1.16001,0.72191,0.6423,0.7162,0.53011,0.91414,1.02458,1.16311,0.000703,0.000703,0.000703
32,395.281,0.9397,0.93881,1.16525,0.77204,0.61979,0.72843,0.53289,0.85278,0.98068,1.12418,0.0006931,0.0006931,0.0006931
33,407.301,0.94404,0.92158,1.16805,0.83544,0.60158,0.73841,0.55627,0.89244,1.08738,1.16462,0.0006832,0.0006832,0.0006832
34,419.679,0.92743,0.93415,1.14819,0.73758,0.68486,0.73909,0.56681,0.82087,1.00438,1.1536,0.0006733,0.0006733,0.0006733
35,431.042,0.89308,0.90837,1.14414,0.76775,0.66795,0.74917,0.58347,0.80019,1.03973,1.14694,0.0006634,0.0006634,0.0006634
36,442.631,0.87282,0.87171,1.12734,0.7702,0.65717,0.75447,0.56537,0.8736,0.94812,1.15522,0.0006535,0.0006535,0.0006535
37,454.256,0.89075,0.87636,1.13389,0.7244,0.68136,0.72607,0.53065,0.94953,1.07161,1.18598,0.0006436,0.0006436,0.0006436
38,466.204,0.89484,0.86891,1.13258,0.77671,0.67035,0.73207,0.52993,0.94961,1.00927,1.16864,0.0006337,0.0006337,0.0006337
39,477.833,0.90926,0.88514,1.15152,0.76508,0.69391,0.77248,0.58756,0.85948,0.92318,1.12333,0.0006238,0.0006238,0.0006238
40,489.927,0.87058,0.83452,1.1189,0.65905,0.70125,0.73264,0.5282,0.87601,1.01231,1.07489,0.0006139,0.0006139,0.0006139
41,502.179,0.88496,0.84842,1.11991,0.79885,0.66968,0.78503,0.58591,0.81583,0.89318,1.05648,0.000604,0.000604,0.000604
42,514.063,0.86957,0.84238,1.11522,0.73447,0.74849,0.77907,0.58364,0.8384,0.89211,1.06217,0.0005941,0.0005941,0.0005941
43,527.911,0.89126,0.83494,1.11845,0.83586,0.62023,0.76935,0.59581,0.77023,0.89864,1.05245,0.0005842,0.0005842,0.0005842
44,539.145,0.85703,0.82412,1.10782,0.71486,0.69302,0.74777,0.59574,0.73124,0.86721,1.06216,0.0005743,0.0005743,0.0005743
